,腹,industry_id,LEVEL_111,E1,E9,E10,E17,Q4,Q7,Q11,Q15,Q3,Q13,S12,S2,S9,S21,esg_out,Q20,Q18,Q23,Q24,Q27,Q29,Q31,G6,G19,Q34_2,Q43,Q35_2,E_score,S_score,G_score,ESG_score,E1_topic_score,E2_topic_score,E3_topic_score,E4_topic_score,E5_topic_score,S1_topic_score,S2_topic_score,S3_topic_score,S4_topic_score,S5_topic_score,G1_topic_score,G2_topic_score,G3_topic_score,G4_topic_score,ESG_rating,ネ玻(じ),綪ゑ瞯,綪ゑ,ネ玻(じ),market_share,total_market_value
22,1210,1,B+,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,1,2.0,0.0,2.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,1.0,3.0,1.8,3.2,3.5,2.7620000000000005,0.0,4.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,3.0,5.0,0.0,5.0,4.0,B-,121154729.0,51.31,綪ゑㄒ禬筁50%,1000货,0.13972804178685913,867075266
23,1215,1,B+,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1,1,2.0,2.0,2.0,2.0,2.0,0.0,4.0,3.0,1.0,2.0,4.0,2.0,2.0,0.0,4.0,4.0,3.0,2.8,5.0,2.5,3.2419999999999995,4.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,B+,33989341.0,0.0,0%(礚綪),200货~500货,0.03919998912758745,867075266
29,1227,1,B+,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1,2,2.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,4.0,1.0,3.0,1.6,3.8,2.25,2.384,0.0,3.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,0.0,0.0,4.0,C,26724792.0,46.49,綪ゑㄒ禬筁40%~50%,200货~500货,0.03082176720746178,867075266
32,1232,1,A,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,3,3,2.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,1.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,3.0,1.0,4.2,2.25,2.25,0.0,0.0,0.0,0.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,0.0,0.0,4.0,C,15837252.0,2.78,綪ゑㄒ禬筁0%~10%,100货~200货,0.018265141010261502,867075266
36,1702,1,B,1.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0,4,1,2.0,2.0,2.0,0.0,2.0,0.0,1.0,3.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,2.4,4.0,2.25,2.746,0.0,4.0,3.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,4.0,B-,14437030.0,78.81,綪ゑㄒ禬筁50%,100货~200货,0.016650261593322856,867075266
26,1219,1,A,1.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,3,1,1.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,2.6,3.8,3.25,3.134,3.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,4.0,B,12167857.0,1.46,綪ゑㄒ禬筁0%~10%,100货~200货,0.014033218887828361,867075266
28,1225,1,B+,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,1,1,2.0,0.0,0.0,0.0,2.0,2.0,4.0,3.0,2.0,1.0,1.0,4.0,0.0,2.0,1.0,1.0,3.0,2.0,4.4,3.5,3.14,0.0,5.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,0.0,4.0,B,11274290.0,6.72,綪ゑㄒ禬筁0%~10%,100货~200货,0.0130026659069756,867075266
25,1218,1,B+,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,1,1,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,4.0,1.0,1.0,2.0,1.0,1.0,4.0,3.0,2.4,5.0,3.5,3.446,0.0,3.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,B+,9915362.0,3.69,綪ゑㄒ禬筁0%~10%,50货~100货,0.011435410960044615,867075266
31,1231,1,A+,1.0,2.0,0.0,2.0,0.0,0.0,2.0,0.0,4,1,0.0,0.0,0.0,-2147483648.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,0.0,0.0,1.0,1.0,3.0,2.4,3.4,2.25,2.596,0.0,3.0,4.0,0.0,5.0,0.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,4.0,B-,8432224.0,2.51,綪ゑㄒ禬筁0%~10%,50货~100货,0.009724904319897877,867075266
30,1229,1,A,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0,1,1,2.0,0.0,0.0,2.0,2.0,0.0,3.0,3.0,4.0,1.0,1.0,1.0,0.0,2.0,1.0,1.0,3.0,2.4,4.2,3.5,3.246,0.0,3.0,4.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B+,5710548.0,9.14,綪ゑㄒ禬筁0%~10%,50货~100货,0.00658598881080296,867075266
