id,name,welfare_mean,salary_mean,ft_salary_mean,ft_salary_med,pt_fe_ratio,oa_num,oa_ratio
1101,台泥,1184.00 ,1043.00 ,1082.00 ,958.00 ,0.26 ,1,0.00 
1102,亞泥,1353.00 ,1214.00 ,1110.00 ,1003.00 ,0.22 ,0,0.00 
1103,嘉泥,1797.00 ,1553.00 ,1139.00 ,923.00 ,0.40 ,0,0.00 
1104,環泥,992.00 ,842.00 ,760.00 ,678.00 ,0.18 ,0,0.00 
1108,幸福,640.00 ,523.00 ,523.00 ,478.00 ,0.29 ,3,0.01 
1109,信大,772.00 ,641.00 ,664.00 ,624.00 ,0.30 ,0,0.00 
1110,東泥,776.00 ,615.00 ,603.00 ,587.00 ,0.18 ,1,0.01 
1201,味全,887.00 ,745.00 ,735.00 ,657.00 ,0.28 ,6,0.04 
1203,味王,649.00 ,566.00 ,585.00 ,555.00 ,0.09 ,5,0.01 
1210,大成,827.00 ,696.00 ,697.00 ,598.00 ,0.15 ,13,0.01 
1213,大飲,513.00 ,435.00 ,446.00 ,402.00 ,0.03 ,0,0.00 
1215,卜蜂,892.00 ,766.00 ,579.00 ,497.00 ,0.06 ,18,0.01 
1216,統一,1408.00 ,1244.00 ,1217.00 ,1043.00 ,0.22 ,5,0.00 
1217,愛之味,804.00 ,671.00 ,684.00 ,582.00 ,0.34 ,5,0.01 
1218,泰山,946.00 ,803.00 ,737.00 ,634.00 ,0.24 ,7,0.01 
1219,福壽,807.00 ,675.00 ,647.00 ,599.00 ,0.14 ,8,0.01 
1220,台榮,696.00 ,582.00 ,603.00 ,553.00 ,0.14 ,1,0.00 
1225,福懋油,902.00 ,767.00 ,701.00 ,614.00 ,0.09 ,2,0.01 
1227,佳格,1195.00 ,981.00 ,827.00 ,758.00 ,0.30 ,8,0.01 
1229,聯華,4077.00 ,3804.00 ,738.00 ,673.00 ,0.22 ,0,0.00 
1231,聯華食,787.00 ,661.00 ,634.00 ,534.00 ,0.30 ,21,0.00 
1232,大統益,1996.00 ,1758.00 ,1591.00 ,1382.00 ,0.27 ,1,0.01 
1233,天仁,480.00 ,394.00 ,509.00 ,455.00 ,0.45 ,16,0.01 
1234,黑松,935.00 ,773.00 ,779.00 ,577.00 ,0.13 ,4,0.01 
1235,興泰,492.00 ,410.00 ,395.00 ,406.00 ,0.33 ,1,0.05 
1236,宏亞,598.00 ,500.00 ,487.00 ,457.00 ,0.47 ,6,0.01 
1256,鮮活果汁-KY,N/A,N/A,N/A,N/A,0.34 ,24,0.03 
1301,台塑,1475.00 ,1276.00 ,1506.00 ,1403.00 ,0.07 ,6,0.00 
1303,南亞,1401.00 ,1242.00 ,1410.00 ,1369.00 ,0.04 ,8,0.00 
1304,台聚,1858.00 ,1609.00 ,1471.00 ,1318.00 ,0.01 ,0,0.00 
1305,華夏,1366.00 ,1188.00 ,1190.00 ,1165.00 ,0.03 ,4,0.01 
1307,三芳,806.00 ,675.00 ,627.00 ,600.00 ,0.10 ,1,0.00 
1308,亞聚,1714.00 ,1462.00 ,1439.00 ,1346.00 ,0.03 ,0,0.00 
1309,台達化,1568.00 ,1353.00 ,1366.00 ,1280.00 ,0.15 ,0,0.00 
1310,台苯,1374.00 ,1117.00 ,1059.00 ,1018.00 ,0.20 ,2,0.01 
1312,國喬,1916.00 ,1567.00 ,1590.00 ,1426.00 ,0.27 ,0,0.00 
1313,聯成,1789.00 ,1544.00 ,1281.00 ,891.00 ,0.31 ,2,0.01 
1314,中石化,1395.00 ,1234.00 ,989.00 ,899.00 ,0.06 ,1,0.00 
1315,達新,765.00 ,615.00 ,599.00 ,520.00 ,0.44 ,2,0.01 
1316,上曜,1401.00 ,1285.00 ,669.00 ,592.00 ,0.07 ,0,0.00 
1319,東陽,679.00 ,564.00 ,619.00 ,532.00 ,0.13 ,0,0.00 
1321,大洋,909.00 ,752.00 ,809.00 ,750.00 ,0.08 ,4,0.01 
1323,永裕,701.00 ,596.00 ,597.00 ,513.00 ,0.26 ,1,0.00 
1324,地球,713.00 ,591.00 ,556.00 ,456.00 ,0.30 ,0,0.00 
1325,恆大,560.00 ,452.00 ,473.00 ,389.00 ,0.50 ,0,0.00 
1326,台化,1744.00 ,1515.00 ,1528.00 ,1435.00 ,0.01 ,3,0.00 
1337,再生-KY,N/A,N/A,N/A,N/A,0.14 ,0,0.00 
1338,廣華-KY,N/A,N/A,N/A,N/A,0.27 ,0,0.00 
1339,昭輝,679.00 ,567.00 ,510.00 ,449.00 ,0.42 ,3,0.01 
1340,勝悅-KY,N/A,N/A,N/A,N/A,0.00 ,0,0.00 
1341,富林-KY,N/A,N/A,N/A,N/A,0.22 ,11,0.01 
1342,八貫,812.00 ,718.00 ,643.00 ,510.00 ,0.33 ,7,0.02 
1402,遠東新,1286.00 ,1103.00 ,976.00 ,849.00 ,0.19 ,101,0.01 
1409,新纖,907.00 ,778.00 ,761.00 ,611.00 ,0.09 ,3,0.00 
1410,南染,673.00 ,580.00 ,537.00 ,547.00 ,0.41 ,0,0.00 
1413,宏洲,741.00 ,623.00 ,648.00 ,614.00 ,0.18 ,2,0.01 
1414,東和,675.00 ,557.00 ,564.00 ,527.00 ,0.18 ,4,0.02 
1416,廣豐,1613.00 ,1250.00 ,766.00 ,781.00 ,0.43 ,0,0.00 
1417,嘉裕,663.00 ,558.00 ,551.00 ,446.00 ,0.54 ,3,0.01 
1418,東華,994.00 ,694.00 ,542.00 ,478.00 ,0.14 ,0,0.00 
1419,新紡,792.00 ,672.00 ,652.00 ,564.00 ,0.56 ,0,0.00 
1423,利華,742.00 ,619.00 ,508.00 ,442.00 ,0.33 ,1,0.01 
1432,大魯閣,377.00 ,297.00 ,430.00 ,364.00 ,0.33 ,18,0.03 
1434,福懋,600.00 ,504.00 ,567.00 ,507.00 ,0.17 ,14,0.00 
1435,中福,827.00 ,757.00 ,1005.00 ,552.00 ,0.67 ,0,0.00 
1436,華友聯,1187.00 ,1005.00 ,866.00 ,842.00 ,0.07 ,1,0.02 
1437,勤益控,3654.00 ,3355.00 ,696.00 ,415.00 ,0.25 ,0,0.00 
1438,三地開發,843.00 ,724.00 ,468.00 ,443.00 ,0.40 ,0,0.00 
1439,雋揚,1548.00 ,1280.00 ,911.00 ,898.00 ,0.13 ,0,0.00 
1440,南紡,783.00 ,663.00 ,631.00 ,560.00 ,0.10 ,9,0.01 
1441,大東,830.00 ,697.00 ,600.00 ,559.00 ,0.19 ,0,0.00 
1442,名軒,1237.00 ,1022.00 ,871.00 ,808.00 ,0.50 ,0,0.00 
1443,立益物流,784.00 ,664.00 ,604.00 ,574.00 ,0.15 ,0,0.00 
1444,力麗,690.00 ,565.00 ,563.00 ,488.00 ,0.23 ,7,0.01 
1445,大宇,676.00 ,571.00 ,539.00 ,471.00 ,0.20 ,0,0.00 
1446,宏和,685.00 ,574.00 ,577.00 ,476.00 ,0.15 ,0,0.00 
1447,力鵬,735.00 ,591.00 ,555.00 ,499.00 ,0.24 ,3,0.01 
1449,佳和,588.00 ,492.00 ,503.00 ,482.00 ,0.32 ,2,0.00 
1451,年興,744.00 ,634.00 ,595.00 ,526.00 ,0.22 ,1,0.00 
1452,宏益,959.00 ,823.00 ,740.00 ,626.00 ,0.33 ,17,0.07 
1453,大將,727.00 ,598.00 ,498.00 ,479.00 ,0.25 ,0,0.00 
1454,台富,649.00 ,541.00 ,515.00 ,449.00 ,0.07 ,0,0.00 
1455,集盛,827.00 ,701.00 ,691.00 ,587.00 ,0.12 ,4,0.00 
1456,怡華,881.00 ,746.00 ,623.00 ,626.00 ,0.13 ,0,0.00 
1457,宜進,914.00 ,737.00 ,600.00 ,589.00 ,0.56 ,0,0.00 
1459,聯發,694.00 ,575.00 ,499.00 ,447.00 ,0.14 ,0,0.00 
1460,宏遠,707.00 ,580.00 ,543.00 ,501.00 ,0.03 ,21,0.01 
1463,強盛,626.00 ,536.00 ,537.00 ,500.00 ,0.17 ,0,0.00 
1464,得力,639.00 ,545.00 ,535.00 ,494.00 ,0.32 ,11,0.01 
1465,偉全,510.00 ,414.00 ,462.00 ,428.00 ,0.25 ,0,0.00 
1466,聚隆,765.00 ,647.00 ,651.00 ,600.00 ,0.35 ,2,0.01 
1467,南緯,786.00 ,640.00 ,696.00 ,597.00 ,0.61 ,2,0.01 
1468,昶和,802.00 ,667.00 ,557.00 ,507.00 ,0.20 ,0,0.00 
1470,大統新創,756.00 ,660.00 ,591.00 ,521.00 ,0.34 ,0,0.00 
1471,首利,1085.00 ,925.00 ,760.00 ,762.00 ,0.25 ,0,0.00 
1472,三洋實業,665.00 ,548.00 ,426.00 ,354.00 ,0.40 ,0,0.00 
1473,台南,725.00 ,623.00 ,532.00 ,451.00 ,0.77 ,2,0.00 
1474,弘裕,727.00 ,629.00 ,572.00 ,505.00 ,0.14 ,1,0.00 
1475,業旺,839.00 ,702.00 ,529.00 ,495.00 ,0.10 ,0,0.00 
1476,儒鴻,1080.00 ,943.00 ,879.00 ,760.00 ,0.36 ,6,0.00 
1477,聚陽,1924.00 ,1747.00 ,1348.00 ,1226.00 ,0.50 ,0,0.00 
1503,士電,1204.00 ,1063.00 ,1016.00 ,841.00 ,0.08 ,0,0.00 
1504,東元,1059.00 ,910.00 ,877.00 ,717.00 ,0.22 ,2,0.00 
1506,正道,727.00 ,597.00 ,521.00 ,466.00 ,0.42 ,1,0.00 
1512,瑞利,634.00 ,513.00 ,537.00 ,492.00 ,0.17 ,0,0.00 
1513,中興電,956.00 ,796.00 ,809.00 ,702.00 ,0.15 ,3,0.00 
1514,亞力,984.00 ,838.00 ,825.00 ,725.00 ,0.02 ,1,0.00 
1515,力山,591.00 ,510.00 ,563.00 ,486.00 ,0.14 ,98,0.06 
1516,川飛,845.00 ,749.00 ,521.00 ,694.00 ,0.00 ,0,0.00 
1517,利奇,605.00 ,504.00 ,534.00 ,502.00 ,0.08 ,5,0.01 
1519,華城,1016.00 ,861.00 ,826.00 ,708.00 ,0.13 ,5,0.01 
1521,大億,729.00 ,604.00 ,613.00 ,565.00 ,0.12 ,0,0.00 
1522,堤維西,668.00 ,549.00 ,575.00 ,525.00 ,0.20 ,16,0.01 
1524,耿鼎,654.00 ,546.00 ,521.00 ,458.00 ,0.08 ,4,0.01 
1525,江申,690.00 ,570.00 ,580.00 ,519.00 ,0.19 ,1,0.00 
1526,日馳,859.00 ,748.00 ,598.00 ,415.00 ,0.20 ,0,0.00 
1527,鑽全,725.00 ,625.00 ,607.00 ,540.00 ,0.01 ,8,0.01 
1528,恩德,978.00 ,861.00 ,657.00 ,572.00 ,0.04 ,0,0.00 
1529,樂事綠能,633.00 ,506.00 ,525.00 ,480.00 ,0.10 ,0,0.00 
1530,亞崴,731.00 ,617.00 ,664.00 ,539.00 ,0.09 ,1,0.01 
1531,高林股,937.00 ,796.00 ,661.00 ,630.00 ,0.19 ,1,0.01 
