id,name,scope1_ton_CO2e,scope1_boundary,scope1_ISO,scope2_ton_CO2e,scope2_boundary,scope2_ISO,scope3_ton_CO2e,scope3_boundary,scope3_ISO,intensity_ton_CO2e,intensity_unit
1101,台泥,4798945.00 ,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,220392.00 ,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、25座製品廠),ISO 14064,29575.00 ,台泥台灣個體公司(涵蓋營運集團總部、研究室、2座水泥廠),ISO 14064,0.81 ,產品
1102,亞泥,2967231.00 ,亞洲水泥個體公司,ISO 14064,172203.00 ,亞洲水泥個體公司,ISO 14064,419501.00 ,亞洲水泥個體公司,ISO 14064,0.85 ,產品
1103,嘉泥,209.16 ,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,4007.20 ,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,1353.95 ,合併報表之母子公司但不包含台灣地區營收佔比相較微小之資產出租公司藍鈞及嘉昇建設，及日本區，大陸區所有轉投資公司。,ISO 14064,0.00 ,"營業額2,042,623 (仟元)"
1104,環泥,18362.00 ,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,18273.00 ,母公司之阿蓮水泥廠、海湖石膏板廠、直屬七座預拌混凝土場,N,N/A,N/A,N,0.01 ,產值(新台幣千元)
1108,幸福,568272.20 ,幸福水泥(股)公司東澳廠,ISO 14064,39493.34 ,幸福水泥(股)公司東澳廠,ISO 14064,N/A,N/A,N,0.52 ,產品
1109,信大,574039.84 ,僅信大母公司南聖湖工廠,ISO 14064,43746.29 ,僅信大母公司南聖湖工廠,ISO 14064,N/A,N/A,N,N/A,N/A
1110,東泥,2738.00 ,工廠,N,20881.00 ,工廠,N,N/A,N/A,N,0.03 ,產品
1201,味全,11135.17 ,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.直接擁有或控制的排放源所直接排放的溫室氣體
 含2-1營業所/工廠購汽油柴油鍋爐天然氣等排放及辦公室人員活動之化糞池清除作業散逸排放。
 含2-2工廠購原料之製麴、發酵雙醣等於製程中排放。",N,21106.03 ,"1.母公司(含總公司、中央研究所、營業所、台中廠、斗六廠、高雄廠)。
2.外購電力產生溫室氣體排放。",N,N/A,N/A,N,0.22 ,產品
1203,味王,7168.95 ,母公司,N,4233.84 ,母公司,N,N/A,N/A,N,5.13 ,營業額
1210,大成,N/A,N/A,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
1213,大飲,693.73 ,僅母公司,N,N/A,N/A,N,N/A,N/A,N,N/A,N/A
1215,卜蜂,45272.00 ,南投肉食品加工廠、台中飼料廠、高雄飼料廠,N,39870.00 ,南投肉食品加工廠、台中飼料廠、高雄飼料廠,N,N/A,N/A,N,7.00 ,南投肉食品加工廠:7.0噸CO2e/百萬營收 ; 飼料廠:0.0267噸CO2e/產量(噸)
1216,統一,58384.00 ,僅母公司,ISO 14064,96160.00 ,僅母公司,ISO 14064,1391235.00 ,僅母公司,ISO 14064,36.25 ,營業收入千萬元
1217,愛之味,1540.00 ,母公司之天然氣與燃料油,N,5799.00 ,母公司之外購電力、外購蒸氣、自來水,N,N/A,N/A,N,1.03 ,產品
1218,泰山,3097.19 ,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1,6394.41 ,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1,1795.68 ,泰山企業所屬田中油脂廠、田中食品廠、水產飼料廠、田中行政大樓、台北長安大樓辦公室。,ISO14064-1,1.10 ,營業額
1219,福壽,6960.20 ,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,10597.88 ,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,4052.11 ,資料涵蓋範圍母公司兩個主要生產廠域,ISO 14064,1.60 ,營業額
1220,台榮,15926.79 ,本公司雲林廠,N,15347.26 ,本公司雲林廠,N,N/A,N/A,N,1900.46 ,營業額(億元)
1225,福懋油,2392.59 ,涵蓋範圍:僅母公司,N,2318.64 ,涵蓋範圍:僅母公司,N,N/A,N/A,N,N/A,N/A
1227,佳格,8844.00 ,佳格母公司,N,11921.00 ,佳格母公司,N,N/A,N/A,N,0.02 ,萬元營業額
1229,聯華,1315.32 ,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,14868.51 ,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,3014.27 ,"母公司-聯華實業投資控股(股)公司以及
子公司-聯華製粉食品(股)公司、聯華置產(股)公司",ISO 14064-1:2018,2.57 ,營業額;單位為新台幣佰萬元
1231,聯華食,7847.94 ,臺灣地區的總公司及各工廠之所有營運相關之活動,N,15704.24 ,臺灣地區的總公司及各工廠之所有營運相關之活動,N,N/A,N/A,N,2.48 ,百萬營業額
1232,大統益,4089.62 ,僅母公司,ISO 14064,112170.89 ,僅母公司,ISO 14064,N/A,N/A,N,0.12 ,黃豆總加工量
1233,天仁,N/A,N/A,N,2617.00 ,本公司天仁茶業股份有限公司直營單位,N,N/A,N/A,N,2.06 ,分母以營業額為百萬元之計算
1234,黑松,9166.63 ,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018,15150.75 ,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018,6256.43 ,台北總公司、中壢廠與斗六廠,ISO 14064-1：2018,0.16 ,產品
1235,興泰,919.29 ,依108年製成排放量檢測結果換算110年母子公司排放量,N,181.63 ,依110年台灣電力公司記錄排放量資訊之母子公司排放量,N,N/A,N/A,N,0.03 ,營業額
1236,宏亞,2878.03 ,母公司,N,6477.88 ,母公司,N,N/A,N/A,N,5.31 ,營業額
1256,鮮活果汁-KY,3076.73 ,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,GRI Standards,15070.90 ,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,GRI Standards,775.84 ,集團主要營運主體，子公司蘇州鮮活飲品股份有限公司,N,0.00 ,營業額
1301,台塑,3966548.00 ,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,4668706.00 ,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,11332873.00 ,母公司2020年經第三方查證數據，請參閱本公司2021年永續報告書P.66,ISO 14064,6205.40 ,範疇一+範疇二/當年度個體財報營收(億元)，請參閱本公司2021年永續報告書P.66
1303,南亞,2499081.00 ,揭露母公司110年度溫室氣體排放量。,ISO 14064,3636122.00 ,揭露母公司110年度溫室氣體排放量。,ISO 14064,14868345.00 ,揭露母公司110年度溫室氣體排放量。,ISO 14064,0.03 ,單位:噸CO2e/110年個體營業額(千元)；其他說明：本次申報之營業額均以母公司當期個體營收(千元)計算。
1304,台聚,16383.80 ,台聚高雄廠,ISO 14064,131602.71 ,台聚高雄廠,ISO 14064,186.55 ,台聚高雄廠,ISO 14064,0.60 ,產品
