代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,social,risk_management,nocorrupt,conservation
1101,1,1,0,0,0,0,0,0,0,0
1102,0,1,0,0,0,0,1,0,0,0
1103,0,1,0,0,0,0,0,0,0,0
1104,1,1,0,0,0,0,0,0,0,0
1108,1,1,1,0,0,0,0,0,0,0
1109,0,1,0,0,0,0,0,0,0,0
1110,0,1,0,0,0,0,1,0,0,0
1201,1,1,1,0,0,0,1,0,0,0
1203,0,1,0,0,0,0,0,0,0,0
1210,0,1,0,0,0,0,0,0,0,0
1213,0,1,0,0,0,0,1,0,0,0
1215,0,1,1,0,0,0,1,1,0,0
1216,1,1,0,0,0,0,0,0,0,0
1217,0,1,0,0,0,0,0,0,0,0
1218,0,0,0,1,0,0,0,1,0,0
1219,0,1,0,0,0,0,0,0,0,0
1220,1,1,0,0,0,0,0,0,0,0
1225,0,1,1,0,0,1,0,0,0,0
1227,0,1,0,0,0,0,0,0,0,0
1229,1,1,1,0,0,0,0,0,0,0
1231,0,1,0,0,0,1,0,0,0,0
1232,0,1,0,1,0,0,0,0,0,0
1233,0,1,0,0,0,0,0,0,0,0
1234,1,0,0,0,0,0,0,0,0,0
1235,1,1,1,1,0,0,0,0,0,0
1236,1,1,0,0,0,0,0,0,0,0
1256,1,1,1,0,0,0,0,0,0,0
1301,1,1,1,0,0,0,0,1,0,0
1303,1,1,1,0,0,1,1,0,0,0
1304,0,1,0,0,0,0,0,0,0,0
1305,1,1,0,0,0,1,1,0,0,0
1307,1,1,1,0,0,0,0,0,0,0
1308,1,1,0,0,0,0,1,0,0,0
1309,0,1,1,0,0,0,0,0,0,0
1310,1,1,1,0,0,0,0,0,0,0
1312,1,1,1,0,0,0,1,0,0,0
1313,0,1,1,0,0,0,0,0,0,0
1314,1,1,1,1,0,1,0,1,1,0
1315,0,1,0,0,0,0,1,0,0,0
1316,1,1,1,0,0,0,0,0,0,0
1319,1,1,1,0,0,0,0,0,0,1
1321,1,1,1,1,0,1,0,0,0,1
1323,0,1,0,0,0,1,0,1,0,1
1324,0,1,0,0,0,0,0,0,0,0
1325,1,1,0,0,0,1,0,0,0,0
1326,0,1,0,0,0,0,0,0,0,0
1339,1,1,0,0,0,0,1,0,0,0
1341,1,1,0,0,0,0,0,0,0,0
1342,1,1,0,0,0,0,0,0,0,0
1402,0,1,1,0,0,0,0,0,0,0
1409,1,1,0,0,0,0,0,0,0,0
1410,1,1,0,0,0,0,1,0,0,0
1413,0,1,1,0,0,0,1,0,0,0
1414,0,1,0,0,0,0,0,0,0,0
1416,1,1,0,0,0,0,0,0,0,0
1417,0,0,0,0,0,0,0,0,0,0
1418,0,1,1,0,0,0,0,0,0,0
1419,1,1,0,0,0,0,1,0,0,0
1423,1,1,0,0,0,0,0,0,0,0
1432,1,1,0,0,0,0,0,0,0,0
1434,1,1,0,0,0,0,0,0,0,0
1435,0,1,0,0,0,0,0,0,0,0
1436,0,1,0,0,0,1,0,0,0,0
1437,1,0,0,0,0,0,1,0,0,0
1438,0,1,0,0,0,0,0,0,0,0
1439,0,1,0,0,0,0,0,0,0,0
1440,0,1,0,0,0,0,0,0,0,0
1441,0,0,0,0,0,0,0,0,0,0
1442,1,1,0,0,0,0,0,0,0,1
1443,1,1,0,0,0,1,0,0,0,0
1444,0,1,0,0,0,0,0,0,0,0
1445,1,1,0,0,0,0,0,0,0,1
1446,1,1,0,0,0,0,1,0,0,0
1447,1,1,0,0,0,1,0,0,0,0
1449,0,1,0,0,0,0,0,0,0,0
1451,1,1,0,0,0,0,0,0,0,0
1452,1,0,0,0,0,0,1,0,0,0
1453,1,1,0,0,0,1,0,0,0,0
1454,0,1,0,0,0,0,0,0,0,0
1455,1,1,0,0,0,0,1,0,0,0
1456,1,1,0,0,0,0,0,0,0,0
1457,1,1,1,0,0,0,0,0,0,0
1459,1,1,0,0,0,0,0,0,0,0
1460,1,1,0,0,0,0,0,0,0,0
1463,0,1,0,0,0,0,0,0,0,0
1464,1,1,0,0,0,0,1,0,0,0
1465,1,1,0,0,0,0,0,0,0,0
1466,1,1,0,0,0,0,0,0,0,0
1467,1,1,1,0,0,0,0,0,0,0
1468,0,1,0,0,0,0,0,0,0,0
1470,1,1,0,0,0,0,0,0,0,0
1471,1,1,0,0,0,1,0,0,0,0
1472,1,1,0,0,0,0,1,0,0,0
1473,0,0,0,0,0,0,0,0,0,0
1474,1,1,0,0,0,0,0,0,0,0
1475,0,1,0,0,0,0,0,1,0,0
1476,0,1,0,0,0,0,0,0,0,0
1477,0,1,1,0,0,1,0,1,0,0
1503,1,1,1,0,0,1,0,0,0,0
1504,0,1,0,0,0,0,0,0,0,0
1506,0,1,1,0,0,0,0,0,0,0
