id,name,reenergy_usage_rate,energy_boundary,energy_ISO
1101,台泥,0.000060 ,台泥台灣個體公司 (涵蓋營運集團總部、研究室、2座水泥廠、24座製品廠、子公司和平電力),ISO 50001
1102,亞泥,0.000000 ,亞洲水泥個體公司,ISO 50001
1103,嘉泥,0.000000 ,嘉泥台灣個體公司,ISO 50001
1104,環泥,0.000000 ,母公司,N
1108,幸福,N/A,N/A,N
1109,信大,N/A,N/A,N
1110,東泥,0.052100 ,僅母公司,N
1201,味全,N/A,N/A,ISO 50001
1203,味王,N/A,N/A,N
1210,大成,N/A,N/A,N
1213,大飲,N/A,N/A,N
1215,卜蜂,0.000182 ,南投肉食品加工廠、台中飼料廠、高雄飼料廠、雲林飼料廠,N
1216,統一,0.000300 ,僅母公司,N
1217,愛之味,N/A,N/A,N
1218,泰山,0.623900 ,計算方式如下表有經過驗算查證。,N
1219,福壽,N/A,N/A,ISO 50001
1220,台榮,N/A,N/A,N
1225,福懋油,0.000000 ,母公司,N
1227,佳格,N/A,N/A,N
1229,聯華,N/A,N/A,N
1231,聯華食,N/A,N/A,ISO 50001
1232,大統益,N/A,N/A,ISO 50001
1233,天仁,N/A,N/A,N
1234,黑松,0.005600 ,總公司、中壢廠、斗六廠,ISO 50001
1235,興泰,N/A,N/A,N
1236,宏亞,0.260000 ,母公司,N
1256,鮮活果汁-KY,N/A,N/A,N
1301,台塑,0.000000 ,母公司,N
1303,南亞,0.000005 ,"母公司，本公司2022年取得18張綠能憑證(依國家再生能源憑證中心網站)，另已規劃分二階段於各廠區廠房屋頂建置太陽能發電設備，預計設置總容量約58,365KW(含必成公司)，預估占119年台電契約容量18.2%(高於政府用電大戶條款規定的10%)，其中，ヾ硬布一廠195KW於2022年7月設備登記核准，已取得再生能源憑證ゝ配電盤廠1,500KW投資新台幣0.7億元，並於2022年12月設備登記核准，已取得再生能源憑證。",1.ISO 50001能源管理系統:樹林、林口、嘉義、新港、仁武、林園等廠區中共14生產廠。 2.綠色工廠: 樹林二廠、新港CCL一、三廠。 3.綠建築:銅箔四廠(銀級)；及樹林、新港等3個生產廠。
1304,台聚,0.000000 ,台聚高雄廠,ISO 50001
1305,華夏,N/A,N/A,ISO 50001
1307,三芳,0.594200 ,合併財務報表之母子公司),N
1308,亞聚,0.000000 ,亞聚林園廠,ISO 50001
1309,台達化,N/A,N/A,ISO 50001
1310,台苯,N/A,N/A,N
1312,國喬,0.000000 ,僅母公司,N
1313,聯成,N/A,N/A,ISO 50001
1314,中石化,0.000302 ,母公司,採用ISO 50001驗證標準，本公司頭份廠、大社廠、小港廠已取得，斗六廠、橋頭廠尚未取得
1315,達新,0.075200 ,母公司,N
1316,上曜,N/A,N/A,N
1319,東陽,N/A,N/A,N
1321,大洋,N/A,N/A,N
1323,永裕,0.000000 ,與台電合作躉售太陽能光電，每年產生綠電約達25000度電以上，但未使用綠電於企業自用。,N
1324,地球,N/A,N/A,N
1325,恆大,N/A,N/A,N
1326,台化,0.001382 ,111年台化及台醋公司之台灣廠區資料,N
1337,再生-KY,N/A,N/A,N
1338,廣華-KY,N/A,N/A,N
1339,昭輝,N/A,N/A,N
1340,勝悅-KY,N/A,N/A,N
1341,富林-KY,0.520000 ,生物質 能源(壓榨稻殼),Higg Index (FEM)
1342,八貫,N/A,N/A,N
1402,遠東新,0.034000 ,生產事業21個生產據點,ISO 50001
1409,新纖,N/A,N/A,ISO 50001
1410,南染,N/A,N/A,N
1413,宏洲,0.000000 ,宏洲纖維工業股份有限公司桃園工廠,N
1414,東和,0.000000 ,本公司,N
1416,廣豐,N/A,N/A,N
1417,嘉裕,N/A,N/A,N
1418,東華,N/A,N/A,N
1419,新紡,N/A,N/A,N
1423,利華,N/A,N/A,N
1432,大魯閣,N/A,N/A,N
1434,福懋,0.004100 ,台灣廠區太陽能發電,ISO 50001
1435,中福,N/A,N/A,N
1436,華友聯,N/A,N/A,N
1437,勤益控,N/A,N/A,N
1438,三地開發,N/A,N/A,N
1439,雋揚,N/A,N/A,N
1440,南紡,0.000000 ,母公司,ISO 50001
1441,大東,N/A,N/A,N
1442,名軒,N/A,N/A,N
1443,立益物流,N/A,N/A,N
1444,力麗,0.000597 ,母公司各廠區,N
1445,大宇,N/A,N/A,N
1446,宏和,N/A,N/A,N
1447,力鵬,N/A,N/A,ISO 50001
1449,佳和,0.000000 ,母公司,N
1451,年興,0.039400 ,包含合併財務報表之母子公司,N
1452,宏益,0.000000 ,包含合併財務報表之母子公司,N
1453,大將,N/A,N/A,N
1454,台富,N/A,N/A,N
1455,集盛,N/A,N/A,N
1456,怡華,N/A,N/A,N
1457,宜進,0.000000 ,宜進實業股份有限公司及子公司(光明絲織廠股份有限公司、宏洲纖維工業股份有限公司、億東纖維股份有限公司、欣懋投資股份有限公司、大田國際開發股份有限公司、大宜國際開發股份有限公司)台北公司,N
1459,聯發,N/A,N/A,N
1460,宏遠,0.000000 ,母公司,ISO 50001
