id,name,d_seats,id_seats,fe_d_seats,fe_d_ratio,da_rate,dfe_ratio
1101,台泥,15.00 ,5.00 ,4.00 ,0.27,1,1
1102,亞泥,14.00 ,3.00 ,0.00 ,0,0.93,1
1103,嘉泥,7.00 ,3.00 ,1.00 ,0.14,0.95,1
1104,環泥,7.00 ,3.00 ,0.00 ,0,1,1
1108,幸福,7.00 ,3.00 ,2.00 ,0.29,1,1
1109,信大,9.00 ,3.00 ,1.00 ,0.11,0.98,0.33
1110,東泥,10.00 ,3.00 ,1.00 ,0.1,0.98,1
1201,味全,9.00 ,3.00 ,0.00 ,0,0.98,1
1203,味王,15.00 ,3.00 ,1.00 ,0.07,0.75,0.27
1210,大成,11.00 ,3.00 ,0.00 ,0,0.97,0.93
1213,大飲,9.00 ,3.00 ,1.00 ,0.11,0.94,0.33
1215,卜蜂,8.00 ,3.00 ,0.00 ,0,0.9,1
1216,統一,13.00 ,3.00 ,2.00 ,0.15,0.98,1
1217,愛之味,9.00 ,3.00 ,0.00 ,0,0.91,0.78
1218,泰山,8.00 ,3.00 ,1.00 ,0.13,0.99,1
1219,福壽,9.00 ,3.00 ,3.00 ,0.33,0.92,1
1220,台榮,13.00 ,3.00 ,2.00 ,0.17,0.92,0.08
1225,福懋油,9.00 ,3.00 ,2.00 ,0.22,0.86,0.56
1227,佳格,8.00 ,4.00 ,1.00 ,0.13,0.93,1
1229,聯華,10.00 ,3.00 ,1.00 ,0.1,0.94,1
1231,聯華食,9.00 ,3.00 ,2.00 ,0.22,1,1
1232,大統益,11.00 ,3.00 ,0.00 ,0,1,1
1233,天仁,9.00 ,3.00 ,0.00 ,0,1,1
1234,黑松,13.00 ,3.00 ,2.00 ,0.15,0.98,1
1235,興泰,7.00 ,3.00 ,1.00 ,0.14,0.94,0.43
1236,宏亞,6.00 ,3.00 ,3.00 ,0.5,1,1
1256,鮮活果汁-KY,8.00 ,3.00 ,1.00 ,0.13,1,1
1301,台塑,15.00 ,4.00 ,2.00 ,0.13,0.96,1
1303,南亞,15.00 ,3.00 ,2.00 ,0.13,0.97,1
1304,台聚,9.00 ,4.00 ,0.00 ,0,0.91,1
1305,華夏,9.00 ,4.00 ,0.00 ,0,1,0.91
1307,三芳,7.00 ,3.00 ,0.00 ,0,0.88,1
1308,亞聚,9.00 ,4.00 ,0.00 ,0,1,1
1309,台達化,9.00 ,4.00 ,1.00 ,0.11,0.98,1
1310,台苯,11.00 ,3.00 ,1.00 ,0.09,0.95,1
1312,國喬,7.00 ,3.00 ,1.00 ,0.14,0.98,1
1313,聯成,10.00 ,3.00 ,0.00 ,0,0.95,1
1314,中石化,9.00 ,3.00 ,0.00 ,0,0.87,1
1315,達新,8.00 ,3.00 ,0.00 ,0,1,1
1316,上曜,7.00 ,3.00 ,2.00 ,0.29,1,1
1319,東陽,7.00 ,3.00 ,1.00 ,0.14,0.98,0.14
1321,大洋,10.00 ,4.00 ,2.00 ,0.2,0.98,1
1323,永裕,11.00 ,4.00 ,0.00 ,0,0.98,1
1324,地球,5.00 ,3.00 ,0.00 ,0,1,1
1325,恆大,7.00 ,3.00 ,3.00 ,0.43,1,0.29
1326,台化,15.00 ,3.00 ,1.00 ,0.07,0.9,1
1337,再生-KY,7.00 ,3.00 ,0.00 ,0,1,1
1338,廣華-KY,7.00 ,3.00 ,0.00 ,0,1,1
1339,昭輝,9.00 ,4.00 ,3.00 ,0.33,1,1
1340,勝悅-KY,7.00 ,3.00 ,1.00 ,0.14,1,1
1341,富林-KY,7.00 ,3.00 ,0.00 ,0,1,1
1342,八貫,7.00 ,3.00 ,1.00 ,0.14,0.91,1
1402,遠東新,13.00 ,3.00 ,2.00 ,0.15,0.94,1
1409,新纖,12.00 ,3.00 ,1.00 ,0.08,0.97,1
1410,南染,7.00 ,4.00 ,0.00 ,0,0.93,0.57
1413,宏洲,11.00 ,3.00 ,2.00 ,0.18,0.82,1
1414,東和,7.00 ,3.00 ,1.00 ,0.14,1,0.64
1416,廣豐,8.00 ,3.00 ,0.00 ,0,0.96,1
1417,嘉裕,7.00 ,3.00 ,2.00 ,0.29,0.98,1
1418,東華,9.00 ,3.00 ,0.00 ,0,0.89,0
1419,新紡,7.00 ,3.00 ,0.00 ,0,1,1
1423,利華,5.00 ,3.00 ,5.00 ,1,0.95,1
1432,大魯閣,9.00 ,4.00 ,2.00 ,0.22,0.88,1
1434,福懋,10.00 ,3.00 ,1.00 ,0.1,0.98,1
1435,中福,7.00 ,3.00 ,0.00 ,0,0,0
1436,華友聯,9.00 ,4.00 ,0.00 ,0,1,1
1437,勤益控,7.00 ,3.00 ,0.00 ,0,1,1
1438,三地開發,7.00 ,3.00 ,2.00 ,0.29,0.96,0.29
1439,雋揚,7.00 ,3.00 ,1.00 ,0.14,0.96,1
1440,南紡,20.00 ,4.00 ,5.00 ,0.25,0.91,1
1441,大東,7.00 ,3.00 ,1.00 ,0.83,0.98,1
1442,名軒,7.00 ,3.00 ,2.00 ,0.29,0.99,1
1443,立益物流,7.00 ,2.00 ,0.00 ,0,0.83,0.11
1444,力麗,9.00 ,3.00 ,1.00 ,0.11,0.83,1
1445,大宇,11.00 ,3.00 ,1.00 ,0.09,0.98,0.27
1446,宏和,9.00 ,3.00 ,2.00 ,0.22,0.72,0.22
1447,力鵬,9.00 ,3.00 ,2.00 ,0.22,0.97,1
1449,佳和,9.00 ,2.00 ,0.00 ,0,0.78,0.89
1451,年興,9.00 ,3.00 ,0.00 ,0,0.98,1
1452,宏益,9.00 ,3.00 ,1.00 ,0.11,0.94,1
1453,大將,7.00 ,3.00 ,1.00 ,0.14,0.91,0.14
1454,台富,9.00 ,4.00 ,2.00 ,0.22,0.94,0.44
1455,集盛,10.00 ,3.00 ,1.00 ,0.1,0.96,0.8
1456,怡華,11.00 ,3.00 ,2.00 ,0.18,0.97,1
1457,宜進,9.00 ,3.00 ,3.00 ,0.33,0.89,1
1459,聯發,9.00 ,3.00 ,0.00 ,0,0.94,1
1460,宏遠,11.00 ,3.00 ,0.00 ,0,0.84,1
1463,強盛,12.00 ,3.00 ,2.00 ,0.17,0.96,0.58
