代號,free_speech,staff_train,occupation_health,consumer_neg,consumer_pos,supplier_esg,risk_management ,nocorrupt
1101,1,1,0,0,0,0,0,0
1102,0,1,0,0,0,0,0,0
1103,0,1,1,0,0,0,0,0
1104,1,1,1,0,0,0,0,0
1108,1,1,1,0,0,0,0,0
1109,0,1,0,0,0,0,0,0
1110,0,1,1,0,0,0,0,0
1201,1,1,1,0,0,0,0,0
1203,0,1,1,0,0,0,0,0
1210,0,1,1,0,0,0,0,0
1213,0,1,1,0,0,0,0,0
1215,0,1,1,1,0,1,0,0
1216,0,1,1,0,0,0,1,0
1217,1,1,0,0,0,0,0,0
1218,0,0,1,0,0,0,0,0
1219,1,0,0,0,0,0,0,0
1220,0,1,1,0,0,0,0,0
1225,1,1,0,0,0,0,0,0
1227,0,1,1,0,0,1,0,0
1229,0,1,1,0,0,0,0,0
1231,1,1,1,0,0,0,0,0
1232,0,1,1,0,0,1,0,0
1233,0,1,1,1,0,0,0,0
1234,0,1,1,0,0,0,0,0
1235,1,0,0,0,0,0,0,0
1236,1,1,0,0,0,0,0,0
1256,1,1,0,0,0,0,0,0
1301,1,1,1,0,0,0,0,0
1303,1,1,1,0,0,0,1,0
1304,1,1,1,0,0,1,0,0
1305,0,1,1,0,0,0,0,0
1307,1,1,1,0,0,1,0,0
1308,1,1,1,0,0,0,0,0
1309,1,1,0,0,0,0,0,0
1310,0,1,1,0,0,0,0,0
1312,1,1,1,0,0,0,0,0
1313,1,1,1,0,0,0,0,0
1314,0,1,1,0,0,1,0,0
1315,1,1,1,1,0,1,1,1
1316,0,1,1,0,0,0,0,0
1319,1,1,1,1,0,1,0,0
1321,1,1,1,1,0,1,1,0
1323,0,1,1,0,0,1,1,0
1324,0,1,1,0,0,0,0,0
1325,1,1,1,0,0,1,0,0
1326,0,1,1,0,0,0,0,0
1339,1,1,0,0,0,0,0,0
1341,1,1,0,0,0,0,0,0
1342,0,1,1,0,0,0,0,0
1402,1,1,1,0,0,0,0,0
1409,1,1,0,0,0,0,0,0
1410,0,1,1,0,0,0,0,0
1413,0,1,1,0,0,0,0,0
1414,1,1,0,0,0,0,0,0
1416,0,0,0,0,0,0,0,0
1417,0,1,1,0,0,0,0,0
1418,1,1,1,0,0,0,0,0
1419,0,1,0,0,0,0,0,0
1423,1,1,1,0,0,0,0,0
1432,1,1,0,0,0,0,0,0
1434,1,1,1,0,0,0,0,0
1435,0,1,1,0,0,0,0,0
1436,0,1,1,0,0,1,0,0
1437,1,1,1,0,0,0,0,0
1438,0,1,0,0,0,0,0,0
1439,0,1,1,0,0,0,0,0
1440,0,1,0,0,0,0,0,0
1441,0,0,0,0,0,0,0,0
1442,1,1,1,0,0,0,0,0
1443,1,1,1,0,0,1,0,0
1444,0,1,1,0,0,0,0,0
1445,1,1,1,0,0,0,0,0
1446,1,1,1,0,0,0,0,0
1447,1,1,1,0,0,0,0,0
1449,0,1,1,0,0,0,0,0
1451,1,1,1,0,0,0,0,0
1452,1,0,0,0,0,0,0,0
1453,1,1,1,0,0,1,0,0
1454,0,1,0,0,0,0,0,0
1455,1,1,0,0,0,0,0,0
1456,1,1,1,0,0,0,0,0
1457,1,1,1,0,0,0,0,0
1459,1,1,0,0,0,0,0,0
1460,1,1,1,0,0,0,0,0
1463,0,1,1,0,0,0,0,0
1464,1,1,1,0,0,1,0,0
1465,1,1,1,0,0,0,0,0
1466,1,1,1,0,0,0,0,0
1467,1,1,1,0,0,0,0,0
1468,0,1,0,0,0,0,0,0
1470,1,1,1,0,0,0,0,0
1471,1,1,1,0,0,0,0,0
1472,1,1,1,0,0,0,0,0
1473,0,0,1,0,0,0,0,0
1474,1,1,0,0,0,0,0,0
1475,0,1,1,0,0,0,1,0
1476,0,1,1,0,0,0,0,0
1477,0,1,0,0,0,1,0,0
1503,1,1,1,0,0,1,0,0
1504,0,1,0,0,0,0,0,0
1506,0,1,1,0,0,0,0,0
1512,1,1,1,0,0,0,0,0
1513,0,1,1,0,0,1,0,0
1514,0,0,0,0,0,0,0,0
1515,1,1,1,1,0,1,0,0
1516,1,1,1,0,0,0,0,0
1517,0,1,1,0,0,0,0,0
1519,0,1,1,0,0,0,0,0
1521,0,0,0,0,0,0,0,0
1522,0,1,1,0,0,0,0,0
1524,0,1,1,0,0,0,0,0
1525,1,1,1,0,0,0,0,0
1526,1,1,1,0,0,0,0,0
1527,0,1,0,0,0,0,0,0
1528,1,1,1,0,0,0,0,0
1529,1,1,0,0,0,1,0,0
1530,1,1,1,0,0,0,0,0
1531,0,1,0,0,0,0,0,0
1532,0,1,1,0,0,0,0,0
1533,0,1,1,0,0,0,0,0
1535,0,1,0,0,0,0,0,0
1536,1,1,1,0,0,0,0,0
1537,1,1,0,0,0,0,0,0
1538,0,1,0,0,0,0,0,0
1539,0,1,1,1,0,1,0,0
1540,0,1,1,0,0,0,0,0
1541,1,1,1,0,0,0,0,0
1558,0,1,1,0,0,0,0,0
1560,1,1,0,0,0,0,0,0
1568,0,1,0,0,0,0,0,0
1582,0,1,1,0,0,0,0,0
1583,1,1,1,0,0,0,0,0
1587,1,1,0,0,0,0,0,0
1589,1,1,0,0,0,0,0,0
1590,0,1,1,0,0,0,0,0
1597,0,1,0,0,0,0,0,0
1598,1,1,1,0,0,1,0,0
1603,0,1,1,0,0,0,0,0
1604,0,1,1,0,0,1,0,0
1605,0,0,0,0,0,0,0,0
1608,0,1,1,0,0,0,0,0
1609,0,0,0,0,0,0,0,0
