代號,名稱,TESG評等季度,TESG評等公告日,採用永續報告書年度,採用永續報告書是否驗證,SASB主產業,SASB子產業,industry_id,E1_YoY,E1_base_YoY,E7_YoY,E7_base_YoY,E9_YoY,E9_base_YoY,E10_YoY,E10_base_YoY,E15_YoY,E15_base_YoY,E16_YoY,E16_base_YoY,E17_YoY,E17_base_YoY,E20_YoY,E20_base_YoY,E21_YoY,E21_base_YoY,S1_YoY,S1_base_YoY,S2_YoY,S2_base_YoY,S4_YoY,S4_base_YoY,S7_YoY,S7_base_YoY,S8_YoY,S8_base_YoY,S9_YoY,S9_base_YoY,S10_YoY,S10_base_YoY,S11_YoY,S11_base_YoY,S12_YoY,S12_base_YoY,S13_YoY,S13_base_YoY,S14_YoY,S14_base_YoY,S15_YoY,S15_base_YoY,S17_YoY,S17_base_YoY,S19_YoY,S19_base_YoY,S20_YoY,S20_base_YoY,S21_YoY,S21_base_YoY,S24_YoY,S24_base_YoY,G1_YoY,G1_base_YoY,G5_YoY,G5_base_YoY,G6_YoY,G6_base_YoY,G7_YoY,G7_base_YoY,G8_YoY,G8_base_YoY,G13_YoY,G13_base_YoY,G14_YoY,G14_base_YoY,G19_YoY,G19_base_YoY,G20_YoY,G20_base_YoY,G21_YoY,G21_base_YoY,G22_YoY,G22_base_YoY,G24_YoY,G24_base_YoY,E2_perf,E3_perf,E4_perf,E5_perf,E6_perf,E8_perf,E11_perf,E12_perf,E13_perf,E14_perf,S3_perf,S5_perf,S6_perf,S16_perf,S18_perf,S23_perf,S25_perf,G2_perf,G3_perf,G4_perf,E18_perf,LEVEL_110,TESG_110,LEVEL_111,TESG_111,TESG_change,LEVEL_110,TESG_110,LEVEL_111,TESG_111,TESG_change
1101,台泥,2021/12,2022/03/31,2020.0,1.0,提煉與礦產加工,建築材料,14,-0.14428253889849357,0.5167634388462259,,,-0.15816733510348738,0.41218092533613643,,,,,,,,,,,,,,,,,,,-0.3333333333333333,inf,,,,,-0.5052473763118441,inf,,,-0.26622715334726915,0.8435770750988144,,-1.0,0.00359573648388341,6.430343511450381,0.12623762376237624,-0.3123404255319149,,,-0.01810066947681625,0.02973718254238442,-0.0625468726563672,-0.17436532507739935,-0.0039062500000000035,-0.760859411489958,,,,,,,,,2.4329896907216497,-0.9751727668287689,,,0.0,0.0,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,B+,63.26,B+,61.79,-,B+,63.26,B+,61.79,-
1102,亞泥,2021/12,2022/03/31,2020.0,1.0,提煉與礦產加工,建築材料,14,-0.14428253889849357,0.5167634388462259,,,-0.15816733510348738,0.41218092533613643,,,,,,,,,,,,,,,,,,,0.0,-0.6,,,,,,,,,-0.7554894460971808,0.3990962064454751,,-1.0,0.054980947196515945,0.08058823529411771,0.03822937625754527,-0.15404255319148935,,,-0.01810066947681625,0.02973718254238442,-0.0625468726563672,-0.17436532507739935,-0.0039062500000000035,-0.760859411489958,,,,,,,,,0.09609012591119942,9.335616438356164,,,-0.06535141800246615,-0.18899999999999995,,,-0.14285714285714285,0.0,-1.0,inf,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,A,67.84,A,64.49,-,A,67.84,A,64.49,-
1103,嘉泥,2021/12,2022/03/31,2020.0,1.0,提煉與礦產加工,建築材料,14,-0.25286697247706424,-0.8366735343697322,,,-0.10739735401459856,1.751219818321593,0.19054752452999765,inf,3.0,inf,,,,,,,,,-1.0,inf,,,,,,,,,,,inf,,,,0.3687510496557129,-0.6092957130358705,,-1.0,-0.0010505778177996876,3.1385093167701856,0.05037513397642015,-0.05279187817258883,,,-0.01810066947681625,0.02973718254238442,-0.0625468726563672,-0.17436532507739935,0.11328124999999988,-0.760859411489958,inf,,0.0,inf,0.0,inf,,,-0.45333886354209874,-15.612121212121211,-0.6618357487922706,inf,-0.4201388888888889,0.505226480836237,,,0.0,-0.2857142857142857,2.0180180180180183,inf,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,B,56.31,B,56.67,-,B,56.31,B,56.67,-
1104,環泥,2021/12,2022/03/31,2020.0,0.0,提煉與礦產加工,建築材料,14,-0.6752851711026615,-0.6263142938334755,,,0.33503084908432074,-0.9355429235144288,,-1.0,,-1.0,,,,,,,,,,,,-1.0,,,-1.0,inf,,,,-1.0,,-1.0,,,3.117969821673525,-0.532512504809542,,,-0.14285714285714285,-0.8813559322033898,0.7620481927710844,0.5910543130990416,,-1.0,-0.15635991558483095,-0.21814999999999998,-0.2943373493975904,inf,,-1.0,,-1.0,,-1.0,,-1.0,,-1.0,-0.3959798994974874,0.46323529411764697,inf,,0.0,0.4025245441795232,,,0.0,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,A,64.68,B+,61.72,↓,A,64.68,B+,61.72,↓
1108,幸福,2021/12,2022/03/31,2020.0,0.0,提煉與礦產加工,建築材料,14,1.8514201037293159,0.32623648869963984,,,4.237415427003366,0.15754886831275708,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,-1.0,,,-0.09263916264527966,0.3098014777886583,0.12844036697247696,inf,-0.04413858566682485,-0.4156150325891,-0.027906976744186046,-0.3291731669266771,,,-0.01810066947681625,0.20989999999999995,-0.0625468726563672,0.010151515151515177,0.11328124999999988,1.57286432160804,,,,,,,,,0.0,2.939759036144578,,,0.0,0.30378096479791394,,,0.0,1.3333333333333333,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,B+,58.28,B,52.82,↓,B+,58.28,B,52.82,↓
1109,信大,2021/12,2022/03/31,,0.0,提煉與礦產加工,建築材料,14,-0.14428253889849357,0.32623648869963984,,,-0.15816733510348738,0.8383848698991052,,,,-1.0,,,inf,,,,,,,,,-1.0,,,,-1.0,,,,-1.0,-0.13881748071979433,-0.6956181533646323,,,-0.15302862359001104,0.7771726535341829,,-1.0,-0.0034033737792246816,0.053961322520274385,0.050387596899224806,0.009784735812133072,inf,-1.0,-0.01810066947681625,0.815031503150315,-0.0625468726563672,0.010151515151515177,-0.0039062500000000035,-0.9625566769050753,,-1.0,,-1.0,,-1.0,,-1.0,-0.8031620553359684,0.38858397365532393,,-1.0,0.09036144578313261,-0.17000000000000004,,,0.0,0.4,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,B,53.02,B,51.6,-,B,53.02,B,51.6,-
1110,東泥,2021/12,2022/03/31,2020.0,0.0,提煉與礦產加工,建築材料,14,-0.14428253889849357,0.2137290167865709,,,-0.15816733510348738,-0.18513321443767486,,,,,,,-1.0,inf,,,,,,,,,,,-0.3333333333333333,0.5,,,,,-1.0,3.5045045045045047,,,0.5758798475678099,1.974,inf,,0.7156227501799854,-0.4690366972477064,-0.08013937282229965,-0.015437392795883362,,,-0.01810066947681625,0.06989370921245774,-0.0625468726563672,-0.060985915492957725,-0.765625,-0.005825242718446607,,,,,,,,,1.7506493506493506,-0.9216683621566633,,,-0.20699999999999996,0.0,,,-0.14285714285714285,0.0,-1.0,inf,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,B,56.34,B,56.18,-,B,56.34,B,56.18,-
1201,味全,2021/12,2022/03/31,2020.0,1.0,食品與飲料,無酒精飲料,2,-0.716541843047867,0.1504026971342948,,,-0.8737250466325356,-0.20936945982836253,,,inf,,inf,,,,,,,,,,inf,,,,inf,-1.0,,,inf,,inf,,,,-0.34761120263591433,-0.2147477360931436,1.1951219512195124,inf,2.7787091366303436,0.9883333333333333,0.6717724288840262,-0.23063973063973064,inf,,0.10573016004643834,0.026332811329747467,-0.15996505454626908,0.10565944272445817,-0.9565689467969598,-0.5698271835590846,inf,,inf,,inf,,inf,,-0.5742601140374695,0.4844820636839984,,-1.0,-0.272,0.0,-1.0,inf,0.25,-0.42857142857142855,inf,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,A+,74.24,A+,71.8,-,A+,74.24,A+,71.8,-
1203,味王,2021/12,2022/03/31,2020.0,1.0,食品與飲料,加工食品,1,3.1913383262780854,0.005895840157222483,,,2.4563797277453667,-0.3519290123456791,,,inf,,,,,,,,,,inf,,,,,,-1.0,-0.8888888888888888,,,inf,,-0.7029702970297029,4.004504504504505,,,-0.17696896343044874,-0.6780684664625661,1.5641025641025643,22.399999999999995,-0.8322147651006712,-0.6948284690220176,0.18079800498753118,0.41072999120492526,,,,0.20590000000000003,-0.25046481933648435,0.3527575757575757,-1.0,3.6281407035175874,inf,,inf,,inf,,,,-0.7588373919874313,2.0309523809523813,-1.0,inf,0.5649452269170578,0.30408163265306126,,,-0.8333333333333334,-0.14285714285714285,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,A,64.1,B+,60.84,↓,A,64.1,B+,60.84,↓
1210,大成,2021/12,2022/03/31,2020.0,1.0,食品與飲料,農產品,1,-0.14131818181818176,1.549246813441483,,,-0.04494651508610357,4.663022071307301,inf,,,-1.0,,,,,,,,,inf,,,-1.0,,,inf,-1.0,,,inf,-1.0,-1.0,inf,,,-0.4338505270638398,0.07787565428316091,-0.5232558139534884,-0.15270935960591125,-0.27158505154639173,-0.3760804020100503,0.6564102564102564,0.06751824817518248,inf,-1.0,,-0.4286,,-0.3333,-0.5238095238095238,-0.657142857142857,inf,-1.0,inf,-1.0,inf,-1.0,inf,-1.0,-0.4276553106212425,-104.95833333333333,,,-0.12745098039215685,0.04675028506271384,,,-0.42857142857142855,2.5,-1.0,inf,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,B,56.79,B+,57.86,↑,B,56.79,B+,57.86,↑
