¥N¸¹,scope1_ton_CO2e_YoY,scope2_ton_CO2e_YoY,scope3_ton_CO2e_YoY,scope12_ton_CO2e_YoY,reenergy_usage_rate_YoY,ISO50001,water_usage_ton_YoY,harmful_trash_ton_YoY,harmless_trash_ton_YoY,trash_ton_YoY,intensity_trash_YoY,ISO14001,welfare_mean_YoY,salary_mean_YoY,ft_salary_mean_YoY,ft_salary_med_YoY,oa_num_YoY,oa_ratio_YoY,pt_fe_ratio_YoY,d_seats_YoY,id_seats_YoY,id_ratio_YoY,fe_d_seats_YoY,da_rate_YoY,dfe_ratio_YoY,call_num_YoY,free_speech_score,staff_train_score,occupation_health_score,conservation_score,consumer_neg_score,supplier_esg_score,risk_management_score,social_score,nocorrupt_score,industry_id
1101,-10.098740452328585,-0.8675451014555882,-41.07185122569738,-9.693411699592994,-40.0,3,-4.499687962008124,,-52.70898718593401,-52.70898718593401,,2,0.4222972972972973,-4.985618408437201,-4.805914972273567,-3.7578288100208765,400.0,,3.8461538461538494,0.0,0.0,0.0,0.0,4.1666666666666705,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14
1102,-1.4365244903413317,7.299524398529643,-76.82055585087998,-0.9573381698739327,,3,-5.402112103980504,,inf,-30.450733752620547,inf,3,-1.9955654101995564,-2.471169686985173,-4.864864864864865,-7.2781655034895305,,,0.0,0.0,0.0,0.0,,-4.123711340206178,0.0,-22.22222222222222,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,14
1103,299.04306220095697,69.87771400049913,44.567627494456765,81.2381404174573,,3,157737.7049180328,,inf,43.34527877323111,,1,-33.889816360601,-39.02124919510624,-23.353819139596137,-12.784398699891659,,,-65.0,0.0,0.0,0.0,inf,-1.0416666666666676,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14
1104,88.04051846204118,13.320199201006949,,50.771120513170466,,1,1456.163455497382,,2374.669408897014,2374.669408897014,,1,-9.375,-0.23752969121140144,4.736842105263158,6.784660766961652,inf,,-61.11111111111111,0.0,0.0,0.0,,0.0,0.0,0.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14
1108,-7.436931610214827,-2.1877294710455018,,-7.095834738755934,,1,-1.7739843048082717,,,,,1,15.0,16.634799235181642,10.89866156787763,8.99581589958159,-33.33333333333333,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,14
1109,-16.400976240290294,-13.313217208430487,inf,-16.18232880371003,,1,12.126161460888211,,,-100.0,,1,-2.5906735751295336,-3.74414976599064,-3.313253012048193,-2.7243589743589745,inf,,-46.666666666666664,0.0,0.0,0.0,0.0,4.255319148936175,50.000000000000014,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14
1110,-6.135865595325055,-18.236674488769694,,-16.833904907066344,inf,1,-25.795454545454543,,-39.68628375987735,-39.68628375987735,inf,1,7.087628865979381,8.130081300813007,4.477611940298507,3.4071550255536627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,14
1201,5.612932195779075,-2.098929214441391,,0.5644986197698583,,3,-3.907699054141384,-1.5151515151515165,22.67604573665159,22.66876446511839,2133.3333333333335,3,0.0,-0.1342281879194631,-0.13605442176870747,2.73972602739726,50.0,-75.0,0.0,0.0,0.0,0.0,,2.0833333333333353,0.0,0.0,3.0,3.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,2
1203,-19.7265625,136.54618473895584,,38.294886413472504,,1,-99.99990472970896,-100.0,-100.0,-41.93086520760892,-43.18181818181818,1,4.314329738058552,4.240282685512367,4.102564102564102,4.324324324324325,100.0,0.0,11.111111111111121,0.0,0.0,0.0,0.0,1.3513513513513526,107.69230769230771,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
1210,,,,,,1,,,,,,1,-2.176541717049577,-2.1551724137931036,1.8651362984218076,0.33444816053511706,61.53846153846154,0.0,26.66666666666667,10.0,0.0,-9.0909090909091,,0.0,-6.999999999999995,100.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1
