¥N¸¹,industry_id,LEVEL_111,E1,E9,E10,E17,Q4,Q7,Q11,Q15,Q3,Q13,S12,S2,S9,S21,esg_out,Q20,Q18,Q23,Q24,Q27,Q29,Q31,G6,G19,Q34_2,Q43,Q35_2,E_score,S_score,G_score,ESG_score,E1_topic_score,E2_topic_score,E3_topic_score,E4_topic_score,E5_topic_score,S1_topic_score,S2_topic_score,S3_topic_score,S4_topic_score,S5_topic_score,G1_topic_score,G2_topic_score,G3_topic_score,G4_topic_score,ESG_rating
1101,14,B+,1,2,0,2,2,2,0,2,3,2,2,0,0,0,2,0,1.0,3.0,3.0,1.0,1.0,1.0,0,1,4,1.0,3,3.8,3.2,3.25,3.452,4.0,5.0,0.0,5.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,B+
1102,14,A,1,2,0,2,1,2,0,2,3,3,2,0,0,0,2,0,1.0,3.0,1.0,1.0,3.0,1.0,0,0,1,1.0,3,3.6,3.2,2.25,3.0140000000000002,3.0,5.0,0.0,5.0,5.0,0.0,5.0,3.0,3.0,5.0,5.0,0.0,0.0,4.0,B
1103,14,B,1,1,2,2,0,0,0,0,3,1,1,0,0,0,2,0,1.0,3.0,1.0,1.0,1.0,1.0,0,1,1,1.0,3,1.8,2.8,3.25,2.572,0.0,4.0,0.0,0.0,5.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,C
1104,14,B+,1,0,0,2,0,0,0,0,1,1,0,0,0,0,1,0,1.0,3.0,3.0,1.0,1.0,1.0,0,1,4,1.0,3,1.0,3.2,3.25,2.36,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,C
1108,14,B,0,0,0,2,1,1,0,0,1,1,2,0,0,-2147483648,1,1,3.0,3.0,3.0,1.0,1.0,1.0,0,1,1,1.0,3,1.0,3.2,3.25,2.36,0.0,0.0,0.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,0.0,4.0,C
1109,14,B,1,2,0,0,2,0,0,0,1,1,2,0,0,0,1,0,1.0,3.0,1.0,1.0,1.0,1.0,0,1,4,1.0,3,1.4,2.8,3.25,2.416,4.0,3.0,0.0,0.0,0.0,0.0,5.0,3.0,3.0,3.0,5.0,4.0,0.0,4.0,C
1110,14,B,1,2,0,2,1,2,0,0,1,1,1,0,0,2,1,1,1.0,3.0,1.0,1.0,3.0,1.0,0,0,3,1.0,3,2.6,4.0,2.25,2.8240000000000003,3.0,5.0,0.0,0.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,0.0,0.0,4.0,B-
1201,2,A+,1,2,0,2,1,2,0,0,3,3,2,2,2,2,2,1,3.0,3.0,3.0,1.0,3.0,1.0,2,2,4,1.0,3,2.6,5.0,4.75,3.974,3.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,A+
1203,1,B+,0,0,0,2,2,2,2,0,1,1,2,0,2,2,2,0,1.0,3.0,1.0,1.0,1.0,1.0,0,0,4,1.0,3,3.0,4.0,2.25,2.98,3.0,3.0,4.0,0.0,5.0,4.0,5.0,3.0,5.0,3.0,5.0,0.0,0.0,4.0,B
1210,1,B+,1,1,2,2,0,0,0,0,1,1,2,0,2,0,2,0,1.0,3.0,1.0,1.0,1.0,1.0,2,0,4,1.0,3,1.8,3.2,3.5,2.7620000000000005,0.0,4.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,3.0,5.0,0.0,5.0,4.0,B-
1213,2,B-,1,2,0,2,1,0,0,0,2,3,2,0,2,0,2,0,1.0,3.0,1.0,1.0,3.0,1.0,2,0,1,1.0,3,2.2,3.6,3.5,3.018,3.0,3.0,0.0,0.0,5.0,0.0,5.0,3.0,5.0,5.0,5.0,0.0,5.0,4.0,B
1215,1,B+,1,2,2,2,2,0,0,0,1,1,2,2,2,2,2,0,4.0,3.0,1.0,2.0,4.0,2.0,2,0,4,4.0,3,2.8,5.0,2.5,3.2419999999999995,4.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,0.0,B+
1216,2,A+,1,2,0,2,1,1,2,0,1,3,2,2,2,2,2,2,2.0,3.0,4.0,1.0,2.0,1.0,2,0,1,2.0,3,3.2,5.0,3.75,3.848,3.0,4.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,A+
1217,1,B+,1,2,0,2,2,1,2,0,1,1,1,0,0,2,2,1,1.0,3.0,2.0,1.0,1.0,1.0,0,1,1,1.0,3,3.4,4.0,3.25,3.496,4.0,4.0,4.0,0.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,4.0,B+
1218,1,B+,1,2,0,2,0,0,2,0,1,1,2,2,2,2,2,2,1.0,1.0,1.0,4.0,1.0,1.0,2,1,1,4.0,3,2.4,5.0,3.5,3.4459999999999997,0.0,3.0,4.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,0.0,B+
1219,1,A,1,1,0,2,1,0,0,2,3,1,1,0,0,0,2,2,1.0,4.0,2.0,1.0,1.0,1.0,0,1,1,1.0,3,2.6,3.8,3.25,3.134,3.0,0.0,0.0,5.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,0.0,4.0,B
1220,1,B-,0,0,0,2,1,1,2,0,1,1,0,0,0,0,2,0,1.0,3.0,4.0,1.0,1.0,1.0,0,2,4,1.0,3,1.8,3.2,3.5,2.7620000000000005,0.0,0.0,4.0,0.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B-
1225,1,B+,1,2,0,2,0,2,0,0,1,1,2,0,0,0,2,2,4.0,3.0,2.0,1.0,1.0,4.0,0,2,1,1.0,3,2.0,4.4,3.5,3.14,0.0,5.0,0.0,0.0,5.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,0.0,4.0,B
1227,1,B+,1,2,0,2,0,0,0,0,1,2,2,0,0,0,2,1,2.0,3.0,1.0,1.0,1.0,2.0,0,0,4,1.0,3,1.6,3.8,2.25,2.384,0.0,3.0,0.0,0.0,5.0,4.0,5.0,3.0,3.0,4.0,5.0,0.0,0.0,4.0,C
1229,1,A,0,2,0,2,1,0,2,0,1,1,2,0,0,2,2,0,3.0,3.0,4.0,1.0,1.0,1.0,0,2,1,1.0,3,2.4,4.2,3.5,3.246,0.0,3.0,4.0,0.0,5.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,0.0,4.0,B+
1231,1,A+,1,2,0,2,0,0,2,0,4,1,0,0,0,-2147483648,2,1,2.0,3.0,2.0,1.0,1.0,4.0,0,0,1,1.0,3,2.4,3.4,2.25,2.596,0.0,3.0,4.0,0.0,5.0,0.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,4.0,B-
1232,1,A,1,1,0,2,0,0,0,0,3,3,2,0,0,0,2,2,1.0,3.0,1.0,4.0,1.0,2.0,0,0,1,1.0,3,1.0,4.2,2.25,2.25,0.0,0.0,0.0,0.0,5.0,4.0,5.0,3.0,5.0,4.0,5.0,0.0,0.0,4.0,C
1233,1,B+,1,0,0,2,0,2,2,0,1,1,2,0,0,-2147483648,2,2,1.0,3.0,1.0,2.0,1.0,1.0,0,0,1,1.0,3,2.4,3.0,2.25,2.496,0.0,3.0,4.0,0.0,5.0,0.0,5.0,3.0,4.0,3.0,5.0,0.0,0.0,4.0,C
1234,2,A+,1,2,2,2,1,2,1,2,3,1,1,0,2,-2147483648,2,2,1.0,2.0,4.0,1.0,1.0,1.0,2,0,1,1.0,3,4.2,3.6,3.5,3.798,3.0,5.0,3.0,5.0,5.0,0.0,5.0,5.0,5.0,3.0,5.0,0.0,5.0,4.0,A+
1235,1,C,1,2,0,2,1,0,0,0,1,1,0,0,0,0,2,2,4.0,4.0,3.0,4.0,1.0,1.0,0,2,1,1.0,3,2.2,4.6,3.5,3.268,3.0,3.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,4.0,B+
1236,1,B,1,2,2,2,2,0,0,0,1,1,2,0,0,2,2,1,1.0,3.0,3.0,1.0,2.0,1.0,0,0,3,1.0,3,2.8,4.4,2.25,3.0020000000000002,4.0,5.0,0.0,0.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,0.0,0.0,4.0,B
1256,2,C,0,0,0,2,2,0,0,2,1,1,2,0,0,-2147483648,2,1,4.0,3.0,3.0,1.0,1.0,1.0,2,1,4,1.0,3,2.6,3.2,4.5,3.434,3.0,0.0,0.0,5.0,5.0,0.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,4.0,B+
1301,10,B,1,2,0,2,2,2,2,2,1,1,2,0,0,2,2,2,3.0,3.0,3.0,1.0,2.0,1.0,0,2,1,4.0,3,4.6,4.4,2.5,3.794,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,0.0,0.0,A
1303,10,B+,1,0,0,2,2,2,0,2,3,3,2,0,0,0,2,1,3.0,3.0,3.0,1.0,3.0,4.0,0,0,1,2.0,3,3.4,4.6,2.5,3.376,4.0,3.0,0.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,0.0,0.0,5.0,B+
1304,10,A+,1,2,0,0,0,2,0,2,3,2,0,0,0,2,2,0,2.0,3.0,2.0,1.0,2.0,2.0,0,0,1,1.0,3,2.0,4.4,2.25,2.69,0.0,5.0,0.0,5.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,0.0,0.0,4.0,B-
1305,10,A+,0,0,2,2,1,1,0,0,3,3,0,0,2,-2147483648,2,1,1.0,3.0,4.0,1.0,4.0,4.0,2,0,1,1.0,3,1.8,4.0,3.5,2.9619999999999997,0.0,4.0,0.0,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,0.0,5.0,4.0,B
