,industry_id,¼Ë¥»¼Æ,E_score,S_score,G_score,ESG_score
0,1,17,2.2941,4.0353,2.7647,2.8988
1,2,5,2.96,4.08,4.0,3.6144
2,3,38,1.8421,3.5211,3.2368,2.7639
3,4,8,1.9,3.475,3.0,2.6897
4,5,7,2.2571,3.7714,3.1429,2.9546
5,7,7,1.6857,3.7143,3.25,2.756
6,8,2,2.0,1.3,2.5,2.005
7,9,1,1.6,4.2,3.5,2.934
8,10,30,2.6533,4.06,2.9917,3.1268
9,11,16,2.575,3.6125,3.1875,3.0549
10,12,22,1.9636,3.5727,2.75,2.649
11,13,7,2.4,3.8857,2.9286,2.9617
12,14,16,2.1125,3.3625,2.7969,2.6714
13,15,13,1.7692,2.8769,2.7692,2.4062
14,16,32,2.2,3.6938,3.1406,2.9121
15,17,19,2.1474,3.2632,2.8816,2.6906
16,18,215,2.1898,3.813,3.2174,2.9655
17,19,105,2.1505,3.7448,3.1881,2.9226
18,20,31,2.0452,3.7613,3.0645,2.8412
19,21,40,2.05,3.57,3.1438,2.8237
20,22,32,2.0,3.4063,2.7734,2.63
21,23,14,2.4,3.6429,2.9821,2.9203
22,24,8,1.875,2.325,2.9062,2.3588
23,25,24,2.6083,3.7,3.1042,3.0597
